id,severity,description,repository,source,opened_at,closed_at,html_url,line_number,filepath,pattern_internal_id,image_name,image_tag,dependencies_chains
ee093724-8d5e-4373-bb3f-ea1b5b2f4a80,Critical,The application was found using an insecure or risky digest or signature algorithm.,now,Codacy,2026-03-25T10:34:52.617Z,,https://app.codacy.com/p/831813/issues/index?resultDataId=131451573134,16,simplex/abacusian/ai_development/processing_systems/external_submission_pipeline/duplicate_detector.py,Semgrep_python_crypto_rule-hash-md5,,,
48449f32-27d8-4812-8901-9cd9d9a9e872,Critical,The application was found using an insecure or risky digest or signature algorithm.,now,Codacy,2026-05-07T04:43:28.934Z,,https://app.codacy.com/p/831813/issues/index?resultDataId=131485704732,51,tools/miners/audit.py,Semgrep_python_crypto_rule-hash-md5,,,
0d2a78a2-d547-4d21-b9ab-2a22a5ba1088,Critical,Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner.,now,Codacy,2026-05-07T04:43:28.934Z,,https://app.codacy.com/p/831813/issues/index?resultDataId=131485704734,41,.github/workflows/message-intake.yml,Semgrep_yaml.github-actions.security.run-shell-injection.run-shell-injection,,,
1b9d4385-72d7-4ccf-b8a0-551e51267973,Critical,Does not check for buffer overflows when copying to destination (CWE-120).  Make sure destination can always hold the source data. ,termux-app,Codacy,2026-03-08T10:29:23.278Z,,https://app.codacy.com/p/831811/issues/index?resultDataId=131451573030,288,termux-shared/src/main/cpp/local-socket.cpp,flawfinder_memcpy,,,
153a487a-24e6-4f3b-89a1-1ae86f87ac4d,Critical,"Does not check for buffer overflows (CWE-120).  Use sprintf_s, snprintf, or vsnprintf. Risk is low because the source has a constant maximum length.",termux-app,Codacy,2026-03-08T10:29:23.278Z,,https://app.codacy.com/p/831811/issues/index?resultDataId=131451573029,85,termux-shared/src/main/cpp/local-socket.cpp,flawfinder_sprintf,,,
7a7721f1-edf7-4160-a157-e42c99a53955,Critical,The `memcpy` family of functions require the developer to validate that the destination buffer is the same size or larger than the source buffer.,termux-app,Codacy,2026-03-08T10:29:23.278Z,,https://app.codacy.com/p/831811/issues/index?resultDataId=131451573041,288,termux-shared/src/main/cpp/local-socket.cpp,Semgrep_c_buffer_rule-memcpy-CopyMemory,,,
6abeccc7-572d-4599-8ac1-9c4f5cd3bd2b,Critical,Data is being piped into `bash` from a `curl` command.,hodie,Codacy,2026-03-08T10:28:39.649Z,,https://app.codacy.com/p/831809/issues/index?resultDataId=131451572868,334,.scripts/dev_auth_setup.sh,Semgrep_bash.curl.security.curl-pipe-bash.curl-pipe-bash,,,
3ac20e2e-1232-4ee9-80d6-c4a5afa75de6,Critical,The application was found using an insecure or risky digest or signature algorithm.,hodie,Codacy,2026-03-08T10:28:39.649Z,,https://app.codacy.com/p/831809/issues/index?resultDataId=131451572939,42,redundancy_entity/redundancy_entity_analyzer.py,Semgrep_python_crypto_rule-hash-md5,,,
bdd8be3b-5ccc-4eb3-93a7-984701c14646,Critical,"Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).  ",termux-app,Codacy,2026-03-08T10:29:23.278Z,,https://app.codacy.com/p/831811/issues/index?resultDataId=131451573027,390,termux-shared/src/main/cpp/local-socket.cpp,flawfinder_read,,,
ff9bda57-8575-4e7f-99f8-2e555c9a62b2,Critical,Hardcoded passwords are a security risk.,termux-app,Codacy,2026-03-08T10:29:23.278Z,,https://app.codacy.com/p/831811/issues/index?resultDataId=131451574217,43,termux-shared/src/main/java/com/termux/shared/shell/command/environment/UnixShellEnvironment.java,Semgrep_codacy.java.security.hard-coded-password,,,
